,NIDID,cell_id,cell_id_orig,lat,lat_orig,lon,lon_orig,res_capacity,storage_ratio,storage_ratio_25th,storage_ratio_75th,parameter_type,WBM_Decision,ror_type,,*res_capacity is maximum storage in acre-feet
136,CA00382,2405243,2405243,38.491665,38.4917,-120.208336,-120.2083,142000,1,0.25,0.75,avge,WBM Input,Peaking,,
137,CA00395,2402148,2402148,41.025002,41.025,-121.658333,-121.6583,41907,0.978356838,0.244589209,0.733767628,avge,WBM Input,Peaking,,
138,CA00397,2402140,2402140,40.991665,40.9917,-121.758331,-121.7583,1970,1,0.25,0.75,avge,WBM Input,Peaking,,
139,CA00398,3174901,3174901,39.408333,39.4083,-122.974998,-122.975,80600,1,0.25,0.75,avge,WBM Input,Unknown,,
140,CA00402,2402128,2402128,40.991665,40.9917,-121.85833,-121.8583,330,1,0.25,0.75,avge,WBM Input,Peaking,,
141,CA00405,2403234,2403234,41.025002,41.025,-121.458336,-121.4583,3212,0.191158157,0.047789539,0.143368618,avge,WBM Input,Peaking,,
142,CA00409,2407658,2407658,38.541668,38.5417,-120.241669,-120.2417,52025,0.94377703,0.235944258,0.707832773,avge,WBM Input,Unknown,,
143,CA00411,2405242,2405242,37.008335,37.0083,-118.974998,-118.975,133600,0.966452096,0.241613024,0.724839072,avge,WBM Input,Intermediate Peaking,,
144,CA00412,2408478,2408478,37.091667,37.0917,-118.974998,-118.975,134342,0.91770258,0.229425645,0.688276935,avge,WBM Input,Unknown,,
145,CA00413,2403422,2403422,40.075001,40.075,-121.158333,-121.1583,2480,0.998790323,0.249697581,0.749092742,avge,WBM Input,Unknown,,
146,CA00414,2402107,2402107,40.924999,40.925,-121.991669,-121.9917,15900,1,0.25,0.75,avge,WBM Input,Unknown,,
147,CA00415,2402102,2402102,40.858334,40.8583,-121.974998,-121.975,34100,0.997067449,0.249266862,0.747800587,avge,WBM Input,Unknown,,
148,CA00416,2403908,2403908,41.141666,41.1417,-122.074997,-122.075,35234,0.999035023,0.249758756,0.749276267,avge,WBM Input,Unknown,,
149,CA00417,2413765,2413765,41.025002,41.025,-121.991669,-121.9917,24241,0.998308651,0.249577163,0.748731488,avge,WBM Input,Unknown,,
150,CA00430,2405903,2405903,37.208332,37.2083,-119.224998,-119.225,100,0.6,0.15,0.45,avge,WBM Input,Unknown,,
151,CA00431,2405538,2405538,37.191666,37.1917,-119.275002,-119.275,74,0.567567568,0.141891892,0.425675676,avge,WBM Input,Unknown,,
152,CA00432,2402762,2402762,37.208332,37.2083,-119.324997,-119.325,1726,0.575318656,0.143829664,0.431488992,avge,WBM Input,Unknown,,
153,CA00433,2405094,2405094,37.275002,37.275,-118.958336,-118.9583,68000,0.941176471,0.235294118,0.705882353,avge,WBM Input,Unknown,,
154,CA00434,2406606,2406606,37.224998,37.225,-119.208336,-119.2083,89800,0.992939866,0.248234967,0.7447049,avge,WBM Input,Unknown,,
155,CA00437,2410132,2410132,37.141666,37.1417,-119.291664,-119.2917,135568,1,0.25,0.75,avge,WBM Input,Unknown,,
156,CA00440,2402687,2402687,37.141666,37.1417,-119.458336,-119.4583,35000,0.746257143,0.186564286,0.559692857,avge,WBM Input,Peaking,,
157,CA00441,2406350,2406350,37.375,37.375,-118.991669,-118.9917,140000,0.893107143,0.223276786,0.669830357,avge,WBM Input,Unknown,,
158,CA00443,2402936,2402936,37.325001,37.325,-119.324997,-119.325,122175,0.982197667,0.245549417,0.73664825,avge,WBM Input,Unknown,,
